,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Astoria,40.76850859335492,-73.91565374304234,Favela Grill,40.76734843380796,-73.91789747356819,Brazilian Restaurant
1,Astoria,40.76850859335492,-73.91565374304234,Orange Blossom,40.76985614579503,-73.9170119137407,Gourmet Shop
2,Astoria,40.76850859335492,-73.91565374304234,Titan Foods Inc.,40.76919777900986,-73.9192530467441,Gourmet Shop
3,Astoria,40.76850859335492,-73.91565374304234,CrossFit Queens,40.76940404539832,-73.91897736979166,Gym
4,Astoria,40.76850859335492,-73.91565374304234,Off The Hook,40.76720036066658,-73.91810419486981,Seafood Restaurant
5,Astoria,40.76850859335492,-73.91565374304234,Simply Fit Astoria,40.76911377971976,-73.91240303580314,Gym
6,Astoria,40.76850859335492,-73.91565374304234,Sitan Muay Thai,40.76610776852132,-73.9132238599876,Martial Arts Dojo
7,Astoria,40.76850859335492,-73.91565374304234,Al-sham Sweets and Pastries,40.768076961690774,-73.91156100683968,Middle Eastern Restaurant
8,Astoria,40.76850859335492,-73.91565374304234,Irish Rover,40.76583545894952,-73.91464727517706,Pub
9,Astoria,40.76850859335492,-73.91565374304234,El Cafetal,40.77015319512015,-73.91821410404256,Mexican Restaurant
10,Astoria,40.76850859335492,-73.91565374304234,Sabry's,40.76844624846522,-73.91126714076336,Seafood Restaurant
11,Astoria,40.76850859335492,-73.91565374304234,Noisette,40.768543965185785,-73.91124779846233,Dessert Shop
12,Astoria,40.76850859335492,-73.91565374304234,Duzan,40.768729618804265,-73.91101346607775,Falafel Restaurant
13,Astoria,40.76850859335492,-73.91565374304234,Ample Hills Creamery,40.765562,-73.919012,Ice Cream Shop
14,Astoria,40.76850859335492,-73.91565374304234,SVL Bar,40.76981639052601,-73.91853012633574,Greek Restaurant
15,Astoria,40.76850859335492,-73.91565374304234,AbuQir Seafood,40.7685767076706,-73.91116896112395,Seafood Restaurant
